NAME,TIME,IDS
afl,0,46
afl,1,60
afl,2,68
afl,4,84
afl,5,90
afl,6,94
afl,8,96
afl,9,101
afl,10,103
afl,11,107
afl,13,143
afl,14,156
afl,15,163
afl,16,170
afl,17,171
afl,18,172
afl,23,176
afl,24,181
afl,26,183
afl,31,185
afl,35,187
afl,37,188
afl,38,192
afl,47,196
afl,48,198
afl,52,201
afl,54,202
afl,55,204
afl,56,206
afl,60,210
afl,67,212
afl,74,215
afl,82,216
afl,83,218
afl,103,220
afl,114,221
afl,116,222
afl,117,223
afl,118,224
afl,121,225
afl,122,226
afl,136,227
afl,142,228
afl,143,229
afl,158,231
afl,171,234
afl,180,235
afl,192,237
afl,307,241
afl,310,243
afl,335,244
afl,400,248
afl,425,249
afl,447,250
afl,455,251
afl,472,252
afl,515,253
afl,569,256
afl,600,257
afl,601,259
afl,606,261
afl,609,264
afl,638,266
afl,643,267
afl,668,268
afl,690,269
afl,700,271
afl,701,272
afl,705,274
afl,708,275
afl,762,276
afl,768,277
afl,795,280
afl,797,281
afl,852,283
afl,856,284
afl,857,285
afl,872,286
afl,876,287
afl,882,288
afl,883,289
afl,895,292
afl,909,293
afl,952,295
afl,963,296
afl,968,297
afl,988,298
afl,1007,299
afl,1027,301
afl,1057,304
afl,1076,305
afl,1091,306
afl,1121,307
afl,1184,308
afl,1206,309
afl,1245,312
afl,1262,316
afl,1461,322
afl,1463,323
laf,0,54
laf,1,74
laf,2,82
laf,3,93
laf,4,95
laf,5,113
laf,6,119
laf,7,126
laf,8,128
laf,9,131
laf,10,135
laf,11,137
laf,12,140
laf,13,146
laf,14,189
laf,15,196
laf,16,203
laf,17,205
laf,21,208
laf,23,211
laf,25,217
laf,27,219
laf,28,221
laf,30,224
laf,31,225
laf,38,232
laf,39,233
laf,42,237
laf,47,238
laf,48,239
laf,52,246
laf,53,247
laf,55,250
laf,56,252
laf,58,254
laf,62,256
laf,67,261
laf,91,268
laf,119,272
laf,127,278
laf,128,279
laf,148,284
laf,149,285
laf,160,287
laf,167,289
laf,170,292
laf,183,294
laf,214,299
laf,248,302
laf,253,304
laf,259,305
laf,260,306
laf,267,309
laf,268,310
laf,302,312
laf,318,315
laf,350,323
laf,372,326
laf,414,328
laf,415,329
laf,440,330
laf,441,332
laf,470,333
laf,486,334
laf,508,335
laf,518,337
laf,535,339
laf,536,341
laf,539,344
laf,602,348
laf,604,355
laf,638,358
laf,645,362
laf,657,364
laf,685,365
laf,691,366
laf,694,367
laf,695,368
laf,698,370
laf,732,371
laf,747,373
laf,754,374
laf,790,377
laf,806,378
laf,814,379
laf,832,380
laf,885,381
laf,907,382
laf,946,384
laf,976,387
laf,981,388
laf,985,389
laf,1048,391
laf,1086,396
laf,1132,400
laf,1142,401
laf,1180,403
laf,1200,404
laf,1214,407
laf,1303,411
laf,1306,412
laf,1310,413
laf,1346,414
laf,1349,415
laf,1357,416
laf,1360,417
laf,1376,418
laf,1377,419
laf,1395,421
laf,1408,422
laf,1430,424
laf,1450,425
laf,1452,426
laf,1458,427
laf,1486,428
laf,1543,432
